fecha;Linea;Cantidad
1/01/2021;ACCESORIOS;3701
1/01/2021;BLUSA;9119
1/01/2021;CALZADO;153
1/01/2021;CAMISETA;19139
1/01/2021;CORTOS;4232
1/01/2021;DEPORTIVO;229
1/01/2021;MARROQUINERIA;1461
1/01/2021;PANTALON;18105
1/01/2021;PANTALONES DE MODA;1446
1/01/2021;ROPA INTERIOR;1092
1/01/2021;SOBRETODO;2888
1/01/2021;PRODUCTOS DE MODA;910
1/02/2021;ACCESORIOS;4423
1/02/2021;BLUSA;12211
1/02/2021;CALZADO;169
1/02/2021;CAMISETA;27134
1/02/2021;CORTOS;5276
1/02/2021;DEPORTIVO;483
1/02/2021;MARROQUINERIA;2689
1/02/2021;PANTALON;28801
1/02/2021;PANTALONES DE MODA;1376
1/02/2021;ROPA INTERIOR;937
1/02/2021;SOBRETODO;4048
1/02/2021;PRODUCTOS DE MODA;866
1/03/2021;ACCESORIOS;4434
1/03/2021;BLUSA;11052
1/03/2021;CALZADO;124
1/03/2021;CAMISETA;30679
1/03/2021;CORTOS;5838
1/03/2021;DEPORTIVO;1081
1/03/2021;MARROQUINERIA;2786
1/03/2021;PANTALON;33027
1/03/2021;PANTALONES DE MODA;1502
1/03/2021;ROPA INTERIOR;637
1/03/2021;SOBRETODO;5004
1/03/2021;PRODUCTOS DE MODA;1324
1/04/2021;ACCESORIOS;2914
1/04/2021;BLUSA;6585
1/04/2021;CALZADO;57
1/04/2021;CAMISETA;20727
1/04/2021;CORTOS;3855
1/04/2021;DEPORTIVO;419
1/04/2021;MARROQUINERIA;2448
1/04/2021;PANTALON;18670
1/04/2021;PANTALONES DE MODA;797
1/04/2021;ROPA INTERIOR;319
1/04/2021;SOBRETODO;3054
1/04/2021;PRODUCTOS DE MODA;859
1/05/2021;ACCESORIOS;4857
1/05/2021;BLUSA;13135
1/05/2021;CALZADO;112
1/05/2021;CAMISETA;36144
1/05/2021;CORTOS;5649
1/05/2021;DEPORTIVO;588
1/05/2021;MARROQUINERIA;5101
1/05/2021;PANTALON;33920
