fecha;Linea;Cantidad
01/03/2023;ACCESORIOS;6199
01/11/2023;ACCESORIOS;6510
01/02/2023;ACCESORIOS;4791
01/12/2023;ACCESORIOS;13404
01/04/2023;ACCESORIOS;7659
01/08/2023;ACCESORIOS;5604
01/09/2023;ACCESORIOS;6602
01/05/2023;ACCESORIOS;9582
01/01/2023;ACCESORIOS;5722
01/07/2023;ACCESORIOS;9301
01/06/2023;ACCESORIOS;8230
01/10/2023;ACCESORIOS;6434
01/07/2023;BEAUTY;2863
01/09/2023;BEAUTY;2967
01/03/2023;BEAUTY;2540
01/11/2023;BEAUTY;3426
01/04/2023;BEAUTY;2165
01/08/2023;BEAUTY;2577
01/12/2023;BEAUTY;6330
01/01/2023;BEAUTY;1993
01/06/2023;BEAUTY;2518
01/10/2023;BEAUTY;2881
01/02/2023;BEAUTY;2094
01/05/2023;BEAUTY;2747
01/06/2023;BLUSA-CAMISA;23964
01/07/2023;BLUSA-CAMISA;26864
01/01/2023;BLUSA-CAMISA;18480
01/09/2023;BLUSA-CAMISA;20595
01/10/2023;BLUSA-CAMISA;21269
01/04/2023;BLUSA-CAMISA;19046
01/05/2023;BLUSA-CAMISA;25914
01/11/2023;BLUSA-CAMISA;38091
01/02/2023;BLUSA-CAMISA;15391
01/03/2023;BLUSA-CAMISA;17883
01/12/2023;BLUSA-CAMISA;77035
01/08/2023;BLUSA-CAMISA;17869
01/11/2023;CALZADO;2
01/01/2023;CALZADO;7
01/03/2023;CALZADO;1
01/10/2023;CALZADO;1
01/05/2023;CALZADO;2
01/02/2023;CALZADO;4
01/04/2023;CALZADO;2
01/09/2023;CAMISETA;37693
01/11/2023;CAMISETA;55053
01/01/2023;CAMISETA;24428
01/06/2023;CAMISETA;33504
01/03/2023;CAMISETA;22962
01/10/2023;CAMISETA;35113
01/05/2023;CAMISETA;34284
01/12/2023;CAMISETA;119815
01/02/2023;CAMISETA;20787
01/07/2023;CAMISETA;41934
01/08/2023;CAMISETA;29907
01/04/2023;CAMISETA;25511
01/09/2023;CORTOS;7559
01/08/2023;CORTOS;6849
01/10/2023;CORTOS;7924
01/01/2023;CORTOS;4411
01/06/2023;CORTOS;8660
01/07/2023;CORTOS;9691
01/12/2023;CORTOS;29791
01/11/2023;CORTOS;13009
01/04/2023;CORTOS;5267
01/02/2023;CORTOS;3590
01/03/2023;CORTOS;4096
01/05/2023;CORTOS;7344
01/01/2023;DEPORTIVOS;9
01/07/2023;DEPORTIVOS;1
01/02/2023;DEPORTIVOS;4
01/12/2023;DEPORTIVOS;453
01/11/2023;DEPORTIVOS;64
01/03/2023;DEPORTIVOS;1
01/06/2023;DEPORTIVOS;1
01/09/2023;JEANS;38036
01/04/2023;JEANS;30580
01/10/2023;JEANS;41319
01/02/2023;JEANS;27239
01/01/2023;JEANS;47301
01/05/2023;JEANS;72183
01/11/2023;JEANS;69163
01/06/2023;JEANS;48233
01/08/2023;JEANS;39716
01/07/2023;JEANS;57042
01/03/2023;JEANS;33847
01/12/2023;JEANS;138937
01/11/2023;PANTALONES;18633
01/12/2023;PANTALONES;38064
01/01/2023;PANTALONES;8839
01/04/2023;PANTALONES;5737
01/06/2023;PANTALONES;8179
01/02/2023;PANTALONES;6784
01/10/2023;PANTALONES;9403
01/05/2023;PANTALONES;9156
01/07/2023;PANTALONES;10077
01/03/2023;PANTALONES;6850
01/08/2023;PANTALONES;7688
01/09/2023;PANTALONES;10298
01/01/2023;PRENDAS DE MODA;428
01/05/2023;PRENDAS DE MODA;2503
01/06/2023;PRENDAS DE MODA;1478
01/02/2023;PRENDAS DE MODA;1647
01/04/2023;PRENDAS DE MODA;1481
01/09/2023;PRENDAS DE MODA;2071
01/03/2023;PRENDAS DE MODA;1049
01/08/2023;PRENDAS DE MODA;819
01/10/2023;PRENDAS DE MODA;3309
01/11/2023;PRENDAS DE MODA;5413
01/07/2023;PRENDAS DE MODA;1624
01/12/2023;PRENDAS DE MODA;11369
01/01/2023;ROPA INTERIOR;2002
01/09/2023;ROPA INTERIOR;1875
01/04/2023;ROPA INTERIOR;1626
01/05/2023;ROPA INTERIOR;2066
01/07/2023;ROPA INTERIOR;2917
01/06/2023;ROPA INTERIOR;2114
01/03/2023;ROPA INTERIOR;2026
01/10/2023;ROPA INTERIOR;1677
01/12/2023;ROPA INTERIOR;4391
01/11/2023;ROPA INTERIOR;2092
01/08/2023;ROPA INTERIOR;1565
01/02/2023;ROPA INTERIOR;1547
01/09/2023;SOBRETODOS;6927
01/06/2023;SOBRETODOS;8464
01/07/2023;SOBRETODOS;9928
01/01/2023;SOBRETODOS;8211
01/12/2023;SOBRETODOS;21227
01/04/2023;SOBRETODOS;5493
01/08/2023;SOBRETODOS;6289
01/10/2023;SOBRETODOS;8878
01/03/2023;SOBRETODOS;7273
01/11/2023;SOBRETODOS;13991
01/05/2023;SOBRETODOS;8775
01/02/2023;SOBRETODOS;5010
01/10/2023;TEJIDO;1094
01/06/2023;TEJIDO;2340
01/11/2023;TEJIDO;1623
01/08/2023;TEJIDO;1736
01/02/2023;TEJIDO;6
01/12/2023;TEJIDO;9678
01/05/2023;TEJIDO;3206
01/01/2023;TEJIDO;4
01/04/2023;TEJIDO;8
01/09/2023;TEJIDO;1385
01/07/2023;TEJIDO;4042
01/03/2023;TEJIDO;1
01/07/2023;TOP-BODY;14752
01/02/2023;TOP-BODY;10235
01/09/2023;TOP-BODY;18721
01/08/2023;TOP-BODY;11951
01/04/2023;TOP-BODY;9469
01/11/2023;TOP-BODY;23118
01/01/2023;TOP-BODY;11844
01/10/2023;TOP-BODY;17597
01/03/2023;TOP-BODY;10184
01/12/2023;TOP-BODY;66899
01/05/2023;TOP-BODY;13172
01/06/2023;TOP-BODY;12574
01/12/2024;ACCESORIOS;13642
01/11/2024;ACCESORIOS;9977
01/04/2024;ACCESORIOS;6273
01/06/2024;ACCESORIOS;6962
01/10/2024;ACCESORIOS;7914
01/05/2024;ACCESORIOS;10071
01/01/2024;ACCESORIOS;3957
01/08/2024;ACCESORIOS;6273
01/09/2024;ACCESORIOS;7211
01/07/2024;ACCESORIOS;6293
01/03/2024;ACCESORIOS;4253
01/02/2024;ACCESORIOS;4379
01/07/2024;BEAUTY;2659
01/11/2024;BEAUTY;4085
01/02/2024;BEAUTY;2276
01/09/2024;BEAUTY;3460
01/08/2024;BEAUTY;2795
01/05/2024;BEAUTY;2948
01/06/2024;BEAUTY;2846
01/03/2024;BEAUTY;2804
01/04/2024;BEAUTY;2614
01/10/2024;BEAUTY;3356
01/12/2024;BEAUTY;7141
01/01/2024;BEAUTY;2241
01/03/2024;BLUSA-CAMISA;19730
01/10/2024;BLUSA-CAMISA;23044
01/02/2024;BLUSA-CAMISA;16021
01/01/2024;BLUSA-CAMISA;14938
01/08/2024;BLUSA-CAMISA;20170
01/05/2024;BLUSA-CAMISA;24143
01/06/2024;BLUSA-CAMISA;21178
01/11/2024;BLUSA-CAMISA;33634
01/07/2024;BLUSA-CAMISA;20957
01/04/2024;BLUSA-CAMISA;19760
01/12/2024;BLUSA-CAMISA;65685
01/09/2024;BLUSA-CAMISA;19008
01/08/2024;CAMISETA;35172
01/05/2024;CAMISETA;32245
01/07/2024;CAMISETA;37925
01/06/2024;CAMISETA;33191
01/12/2024;CAMISETA;122393
01/02/2024;CAMISETA;27931
01/11/2024;CAMISETA;54950
01/10/2024;CAMISETA;37840
01/01/2024;CAMISETA;26013
01/04/2024;CAMISETA;20691
01/03/2024;CAMISETA;25038
01/09/2024;CAMISETA;39184
01/06/2024;COMPLEMENTOS;49
01/12/2024;COMPLEMENTOS;256
01/09/2024;COMPLEMENTOS;90
01/07/2024;COMPLEMENTOS;33
01/05/2024;COMPLEMENTOS;1
01/08/2024;COMPLEMENTOS;44
01/10/2024;COMPLEMENTOS;42
01/11/2024;COMPLEMENTOS;99
01/05/2024;CORTOS;7843
01/12/2024;CORTOS;31512
01/10/2024;CORTOS;8486
01/09/2024;CORTOS;9099
01/08/2024;CORTOS;8952
01/04/2024;CORTOS;6262
01/01/2024;CORTOS;6832
01/02/2024;CORTOS;7922
01/07/2024;CORTOS;10889
01/11/2024;CORTOS;12535
01/06/2024;CORTOS;13040
01/03/2024;CORTOS;9077
01/11/2024;DEPORTIVOS;87
01/03/2024;DEPORTIVOS;65
01/02/2024;DEPORTIVOS;50
01/09/2024;DEPORTIVOS;40
01/10/2024;DEPORTIVOS;42
01/08/2024;DEPORTIVOS;54
01/12/2024;DEPORTIVOS;113
01/01/2024;DEPORTIVOS;48
01/04/2024;DEPORTIVOS;54
01/07/2024;DEPORTIVOS;121
01/05/2024;DEPORTIVOS;54
01/06/2024;DEPORTIVOS;105
01/10/2024;JEANS;54584
01/02/2024;JEANS;27417
01/04/2024;JEANS;37015
01/06/2024;JEANS;45365
01/01/2024;JEANS;26981
01/03/2024;JEANS;34322
01/08/2024;JEANS;48891
01/05/2024;JEANS;62551
01/12/2024;JEANS;184022
01/11/2024;JEANS;98189
01/07/2024;JEANS;55457
01/09/2024;JEANS;49930
01/10/2024;PANTALONES;8336
01/06/2024;PANTALONES;11282
01/01/2024;PANTALONES;8664
01/09/2024;PANTALONES;8165
01/03/2024;PANTALONES;10569
01/07/2024;PANTALONES;11940
01/11/2024;PANTALONES;15479
01/08/2024;PANTALONES;8869
01/04/2024;PANTALONES;10074
01/05/2024;PANTALONES;13735
01/02/2024;PANTALONES;10503
01/12/2024;PANTALONES;26895
01/04/2024;PRENDAS DE MODA;4416
01/03/2024;PRENDAS DE MODA;3774
01/09/2024;PRENDAS DE MODA;3444
01/07/2024;PRENDAS DE MODA;4658
01/06/2024;PRENDAS DE MODA;3894
01/11/2024;PRENDAS DE MODA;7473
01/01/2024;PRENDAS DE MODA;2482
01/10/2024;PRENDAS DE MODA;3961
01/02/2024;PRENDAS DE MODA;2110
01/08/2024;PRENDAS DE MODA;3984
01/12/2024;PRENDAS DE MODA;18536
01/05/2024;PRENDAS DE MODA;3900
01/04/2024;ROPA INTERIOR;2329
01/10/2024;ROPA INTERIOR;1665
01/11/2024;ROPA INTERIOR;1750
01/09/2024;ROPA INTERIOR;1864
01/08/2024;ROPA INTERIOR;2105
01/06/2024;ROPA INTERIOR;2270
01/05/2024;ROPA INTERIOR;2362
01/01/2024;ROPA INTERIOR;1576
01/07/2024;ROPA INTERIOR;2027
01/02/2024;ROPA INTERIOR;1608
01/03/2024;ROPA INTERIOR;2124
01/12/2024;ROPA INTERIOR;1976
01/04/2024;SOBRETODOS;6423
01/05/2024;SOBRETODOS;7258
01/01/2024;SOBRETODOS;5137
01/07/2024;SOBRETODOS;6723
01/03/2024;SOBRETODOS;6734
01/02/2024;SOBRETODOS;6204
01/11/2024;SOBRETODOS;9735
01/09/2024;SOBRETODOS;4872
01/08/2024;SOBRETODOS;5546
01/12/2024;SOBRETODOS;18632
01/06/2024;SOBRETODOS;7102
01/10/2024;SOBRETODOS;5433
01/01/2024;TEJIDO;3984
01/07/2024;TEJIDO;3421
01/08/2024;TEJIDO;3051
01/09/2024;TEJIDO;2573
01/04/2024;TEJIDO;1395
01/11/2024;TEJIDO;7660
01/02/2024;TEJIDO;1854
01/10/2024;TEJIDO;4542
01/06/2024;TEJIDO;4561
01/03/2024;TEJIDO;1256
01/05/2024;TEJIDO;5619
01/12/2024;TEJIDO;9513
01/11/2024;TOP-BODY;34631
01/01/2024;TOP-BODY;12827
01/05/2024;TOP-BODY;20521
01/07/2024;TOP-BODY;23495
01/08/2024;TOP-BODY;21216
01/03/2024;TOP-BODY;19199
01/12/2024;TOP-BODY;74233
01/10/2024;TOP-BODY;24553
01/04/2024;TOP-BODY;19997
01/06/2024;TOP-BODY;22485
01/09/2024;TOP-BODY;21598
01/02/2024;TOP-BODY;17846
01/05/2025;ACCESORIOS;4882
01/02/2025;ACCESORIOS;5007
01/10/2025;ACCESORIOS;5245
01/12/2025;ACCESORIOS;17165
01/01/2025;ACCESORIOS;4812
01/06/2025;ACCESORIOS;4997
01/03/2025;ACCESORIOS;4787
01/07/2025;ACCESORIOS;6652
01/11/2025;ACCESORIOS;11898
01/04/2025;ACCESORIOS;4525
01/08/2025;ACCESORIOS;5934
01/09/2025;ACCESORIOS;6506
01/04/2025;BEAUTY;3622
01/01/2025;BEAUTY;2590
01/03/2025;BEAUTY;3495
01/11/2025;BEAUTY;7052
01/07/2025;BEAUTY;7495
01/09/2025;BEAUTY;5161
01/06/2025;BEAUTY;3934
01/10/2025;BEAUTY;4599
01/08/2025;BEAUTY;4103
01/02/2025;BEAUTY;2783
01/12/2025;BEAUTY;10407
01/05/2025;BEAUTY;5004
01/12/2025;BLUSA-CAMISA;68496
01/05/2025;BLUSA-CAMISA;27087
01/01/2025;BLUSA-CAMISA;13419
01/10/2025;BLUSA-CAMISA;21048
01/07/2025;BLUSA-CAMISA;24256
01/04/2025;BLUSA-CAMISA;19282
01/09/2025;BLUSA-CAMISA;19902
01/02/2025;BLUSA-CAMISA;17181
01/03/2025;BLUSA-CAMISA;17658
01/08/2025;BLUSA-CAMISA;20407
01/06/2025;BLUSA-CAMISA;22402
01/11/2025;BLUSA-CAMISA;35866
01/12/2025;CAMISETA;128310
01/05/2025;CAMISETA;51299
01/06/2025;CAMISETA;43301
01/02/2025;CAMISETA;36950
01/04/2025;CAMISETA;39260
01/01/2025;CAMISETA;36123
01/08/2025;CAMISETA;40021
01/11/2025;CAMISETA;58743
01/03/2025;CAMISETA;40588
01/10/2025;CAMISETA;39209
01/09/2025;CAMISETA;43919
01/07/2025;CAMISETA;52246
01/07/2025;COMPLEMENTOS;60
01/02/2025;COMPLEMENTOS;301
01/10/2025;COMPLEMENTOS;14
01/04/2025;COMPLEMENTOS;139
01/05/2025;COMPLEMENTOS;59
01/03/2025;COMPLEMENTOS;169
01/11/2025;COMPLEMENTOS;95
01/01/2025;COMPLEMENTOS;220
01/12/2025;COMPLEMENTOS;496
01/08/2025;COMPLEMENTOS;17
01/09/2025;COMPLEMENTOS;26
01/06/2025;COMPLEMENTOS;27
01/11/2025;CORTOS;14273
01/06/2025;CORTOS;12582
01/01/2025;CORTOS;9392
01/02/2025;CORTOS;9205
01/12/2025;CORTOS;32487
01/09/2025;CORTOS;9386
01/03/2025;CORTOS;9056
01/10/2025;CORTOS;8878
01/08/2025;CORTOS;9227
01/04/2025;CORTOS;9439
01/07/2025;CORTOS;13529
01/05/2025;CORTOS;10571
01/03/2025;DEPORTIVOS;34
01/01/2025;DEPORTIVOS;21
01/11/2025;DEPORTIVOS;10
01/12/2025;DEPORTIVOS;17
01/04/2025;DEPORTIVOS;27
01/06/2025;DEPORTIVOS;24
01/09/2025;DEPORTIVOS;12
01/02/2025;DEPORTIVOS;55
01/08/2025;DEPORTIVOS;22
01/07/2025;DEPORTIVOS;35
