fecha;Linea;Cantidad
01/01/2021;PANTALON;4373
01/01/2021;CAMISETA;10558
01/01/2021;BLUSA;1782
01/01/2021;CORTOS;3798
01/01/2021;SOBRETODO;934
01/01/2021;CALZADO;236
01/01/2021;DEPORTIVO;755
01/01/2021;PANTALONES DE MODA;1559
01/01/2021;ACCESORIOS;2696
01/01/2021;PRODUCTOS DE MODA;1596
01/01/2021;ROPA INTERIOR;2316
01/01/2021;MARROQUINERIA;1555
01/02/2021;PANTALON;6652
01/02/2021;CAMISETA;16081
01/02/2021;BLUSA;2229
01/02/2021;CORTOS;5843
01/02/2021;SOBRETODO;1373
01/02/2021;CALZADO;1062
01/02/2021;DEPORTIVO;1481
01/02/2021;PANTALONES DE MODA;2634
01/02/2021;ACCESORIOS;3480
01/02/2021;PRODUCTOS DE MODA;2398
01/02/2021;ROPA INTERIOR;3689
01/02/2021;MARROQUINERIA;2043
01/03/2021;PANTALON;10650
01/03/2021;CAMISETA;20948
01/03/2021;BLUSA;2967
01/03/2021;CORTOS;7264
01/03/2021;SOBRETODO;2436
01/03/2021;CALZADO;1796
01/03/2021;DEPORTIVO;1779
01/03/2021;PANTALONES DE MODA;2927
01/03/2021;ACCESORIOS;3919
01/03/2021;PRODUCTOS DE MODA;3267
01/03/2021;ROPA INTERIOR;4341
01/03/2021;MARROQUINERIA;2568
01/04/2021;PANTALON;6297
01/04/2021;CAMISETA;14196
01/04/2021;BLUSA;1876
01/04/2021;CORTOS;5288
01/04/2021;SOBRETODO;1875
01/04/2021;CALZADO;1370
01/04/2021;DEPORTIVO;1282
01/04/2021;PANTALONES DE MODA;1511
01/04/2021;ACCESORIOS;2772
01/04/2021;PRODUCTOS DE MODA;1885
01/04/2021;ROPA INTERIOR;3122
01/04/2021;MARROQUINERIA;1714
01/05/2021;PANTALON;9555
01/05/2021;CAMISETA;20719
01/05/2021;BLUSA;1997
01/05/2021;CORTOS;6918
01/05/2021;SOBRETODO;2364
01/05/2021;CALZADO;2064
01/05/2021;DEPORTIVO;1632
01/05/2021;PANTALONES DE MODA;1677
01/05/2021;ACCESORIOS;3629
01/05/2021;PRODUCTOS DE MODA;2500
01/05/2021;ROPA INTERIOR;3986
01/05/2021;MARROQUINERIA;2288
01/06/2021;PANTALON;14325
01/06/2021;CAMISETA;30137
01/06/2021;BLUSA;4530
01/06/2021;CORTOS;10536
01/06/2021;SOBRETODO;4141
01/06/2021;CALZADO;3177
01/06/2021;DEPORTIVO;2978
01/06/2021;PANTALONES DE MODA;2739
01/06/2021;ACCESORIOS;4045
01/06/2021;PRODUCTOS DE MODA;3714
01/06/2021;ROPA INTERIOR;4986
01/06/2021;MARROQUINERIA;3045
01/07/2021;PANTALON;16804
01/07/2021;CAMISETA;29135
01/07/2021;BLUSA;4834
01/07/2021;CORTOS;10265
01/07/2021;SOBRETODO;4249
01/07/2021;CALZADO;3018
01/07/2021;DEPORTIVO;2799
01/07/2021;PANTALONES DE MODA;2804
01/07/2021;ACCESORIOS;4240
01/07/2021;PRODUCTOS DE MODA;3271
01/07/2021;ROPA INTERIOR;5689
01/07/2021;MARROQUINERIA;3578
01/08/2021;PANTALON;17760
01/08/2021;CAMISETA;30345
01/08/2021;BLUSA;4375
01/08/2021;CORTOS;9293
01/08/2021;SOBRETODO;3999
