Linea,Venta_Real_Parcial,Dias_Transcurridos,Dias_Totales_Mes,Proyeccion_Cierre,Pronostico_Modelo,Diferencia,Cierre_Estimado
CAMISETA,33623,15,31,69488,60160,9328,64824
PANTALON,29908,15,31,61810,56677,5133,59244
BLUSA,9999,15,31,20665,16663,4002,18664
CORTOS,5657,15,31,11691,4004,7687,7848
ACCESORIOS,3844,15,31,7944,4993,2951,6468
SOBRETODO,3713,15,31,7674,11706,-4032,9690
MARROQUINERIA,3280,15,31,6779,4418,2361,5598
PANTALONES DE MODA,2451,15,31,5065,4179,886,4622
PRODUCTOS DE MODA,709,15,31,1465,993,472,1229
DEPORTIVO,45,15,31,93,128,-35,110
ROPA INTERIOR,27,15,31,56,22,34,39
