Linea,Venta_Real_Parcial,Dias_Transcurridos,Dias_Totales_Mes,Proyeccion_Cierre,Pronostico_Modelo,Diferencia,Cierre_Estimado,Ajuste_Venta_Perdida_Pct,Cierre_Con_Venta_Perdida
JEANS,36668,26,31,43720,47490.0,-3770.0,45605,0.0414,47493
CAMISETA,33954,26,31,40484,49627.0,-9143.0,45056,0.0414,46921
BLUSA-CAMISA,16202,26,31,19318,20745.0,-1427.0,20032,0.0414,20861
TOP-BODY,14539,26,31,17335,18452.0,-1117.0,17894,0.0414,18635
PANTALONES,10421,26,31,12425,13629.0,-1204.0,13027,0.0414,13566
CORTOS,10231,26,31,12198,13353.0,-1155.0,12776,0.0414,13305
ACCESORIOS,8970,26,31,10695,11366.0,-671.0,11030,0.0414,11487
SOBRETODOS,4914,26,31,5859,6636.0,-777.0,6248,0.0414,6507
BEAUTY,4338,26,31,5172,6023.0,-851.0,5598,0.0414,5830
TEJIDO,2851,26,31,3399,3129.0,270.0,3264,0.0414,3399
PRENDAS DE MODA,2788,26,31,3324,3898.0,-574.0,3611,0.0414,3760
COMPLEMENTOS,362,26,31,432,,,432,0.0414,450
ROPA INTERIOR,12,26,31,14,40.0,-26.0,27,0.0414,28
CALZADO,-1,26,31,-1,-1.0,0.0,-1,0.0414,-1
