Linea,Venta_Real_Parcial,Dias_Transcurridos,Dias_Totales_Mes,Proyeccion_Cierre,Pronostico_Modelo,Diferencia,Cierre_Estimado,Ajuste_Venta_Perdida_Pct,Cierre_Con_Venta_Perdida
CAMISETA,27168,23,30,35437,35893,-456,35665,0.0475,37359
JEANS,20446,23,30,26669,22182,4487,24426,0.0475,25586
TOP-BODY,15799,23,30,20607,20397,210,20502,0.0475,21476
CORTOS,10309,23,30,13447,13671,-224,13559,0.0475,14203
PANTALONES,6979,23,30,9103,10463,-1360,9783,0.0475,10248
BEAUTY,6142,23,30,8011,6823,1188,7417,0.0475,7769
ACCESORIOS,5723,23,30,7465,7115,350,7290,0.0475,7636
PRENDAS DE MODA,5169,23,30,6742,7513,-771,7128,0.0475,7467
SOBRETODOS,4904,23,30,6397,5602,795,6000,0.0475,6285
BLUSA-CAMISA,3926,23,30,5121,5969,-848,5545,0.0475,5808
CALZADO,3674,23,30,4792,4162,630,4477,0.0475,4690
ROPA INTERIOR,3633,23,30,4739,4799,-60,4769,0.0475,4996
DEPORTIVOS,178,23,30,232,555,-323,394,0.0475,413
COMPLEMENTOS,88,23,30,115,165,-50,140,0.0475,147
TEJIDO,24,23,30,31,33,-2,32,0.0475,34
