fecha,Linea,Cantidad_Pronosticada,Limite_Inferior,Limite_Superior,Modelo,Factor_Peso,Ajuste_Venta_Perdida_Pct
2026-04-01,ACCESORIOS,6596,5979,7166,Voting,100,0.0466
2026-05-01,ACCESORIOS,8113,7218,9374,Voting,100,0.0478
2026-06-01,ACCESORIOS,7827,6927,9085,Voting,100,0.0467
2026-07-01,ACCESORIOS,7323,6423,8587,Voting,100,0.047
2026-08-01,ACCESORIOS,8669,7582,9633,Voting,100,0.0467
2026-09-01,ACCESORIOS,8719,8070,11594,Voting,100,0.0467
2026-10-01,ACCESORIOS,7354,6445,9510,Voting,100,0.0467
2026-11-01,ACCESORIOS,9652,8315,12340,Voting,100,0.0506
2026-12-01,ACCESORIOS,12699,10872,15010,Voting,100,0.06
2027-01-01,ACCESORIOS,8547,7560,9811,Voting,100,0.0458
2027-02-01,ACCESORIOS,7893,7018,9268,Voting,100,0.046
2027-03-01,ACCESORIOS,8195,7297,9461,Voting,100,0.0463
2026-04-01,BLUSA,21054,19782,21454,Voting,70,0.0466
2026-05-01,BLUSA,26199,22831,30269,Voting,70,0.0478
2026-06-01,BLUSA,24010,23085,25969,Voting,70,0.0467
2026-07-01,BLUSA,22906,21232,26497,Voting,70,0.047
2026-08-01,BLUSA,21243,19963,22033,Voting,70,0.0467
2026-09-01,BLUSA,21663,20410,24097,Voting,70,0.0467
2026-10-01,BLUSA,23440,8209,27001,Voting,70,0.0467
2026-11-01,BLUSA,36614,32913,41053,Voting,70,0.0506
2026-12-01,BLUSA,73510,64705,86353,Voting,70,0.06
2027-01-01,BLUSA,17788,15924,20497,Voting,70,0.0458
2027-02-01,BLUSA,17948,15995,19238,Voting,70,0.046
2027-03-01,BLUSA,20152,18727,21568,Voting,70,0.0463
2025-01-01,CALZADO,0,0,0,Knn,5,0.04
2025-02-01,CALZADO,0,0,0,Knn,5,0.04
2025-03-01,CALZADO,0,0,0,Knn,5,0.04
2025-04-01,CALZADO,0,0,0,Knn,5,0.04
2025-05-01,CALZADO,0,0,0,Knn,5,0.04
2025-06-01,CALZADO,11,0,35,Knn,5,0.04
2025-07-01,CALZADO,11,0,35,Knn,5,0.04
2025-08-01,CALZADO,11,0,35,Knn,5,0.04
2025-09-01,CALZADO,11,0,35,Knn,5,0.04
2025-10-01,CALZADO,11,0,35,Knn,5,0.04
2025-11-01,CALZADO,11,0,35,Knn,5,0.04
2025-12-01,CALZADO,11,0,35,Knn,5,0.04
2026-04-01,CAMISETA,70839,70626,71969,GradientBoosting,10,0.0466
2026-05-01,CAMISETA,72690,72476,73822,GradientBoosting,10,0.0478
2026-06-01,CAMISETA,71212,70998,72343,GradientBoosting,10,0.0467
2026-07-01,CAMISETA,73333,73209,75871,GradientBoosting,10,0.047
2026-08-01,CAMISETA,68357,67822,69122,GradientBoosting,10,0.0467
2026-09-01,CAMISETA,72639,72026,73642,GradientBoosting,10,0.0467
2026-10-01,CAMISETA,67081,66727,69591,GradientBoosting,10,0.0467
2026-11-01,CAMISETA,100808,100887,103226,GradientBoosting,10,0.0506
2026-12-01,CAMISETA,205276,205231,205895,GradientBoosting,10,0.06
2027-01-01,CAMISETA,68281,66717,69227,GradientBoosting,10,0.0458
2027-02-01,CAMISETA,66875,65953,67820,GradientBoosting,10,0.046
2027-03-01,CAMISETA,72133,70740,73263,GradientBoosting,10,0.0463
2026-04-01,CORTOS,11720,11171,12443,Arbol,30,0.0466
