fecha,Linea,Cantidad_Pronosticada,Limite_Inferior,Limite_Superior,Modelo,MAPE_Backtest,Ajuste_Venta_Perdida_Pct,Venta_Perdida_Estimada,Gap_Regional_Sismo,Factor_Sismo
2026-09-01,ACCESORIOS,8765,8302,9229,TopDown HW damp-add,0.2982,0.0438,414,0.2448,0.9263
2026-09-01,BEAUTY,5721,5418,6023,TopDown HW damp-add,0.3183,0.0438,270,0.2448,0.9296
2026-09-01,BLUSA-CAMISA,19499,18469,20530,TopDown HW damp-add,0.1298,0.0438,924,0.2448,0.9248
2026-09-01,CALZADO,0,0,0,TopDown HW damp-add,0.0477,0.0438,0,0.2448,1.0
2026-09-01,CAMISETA,48004,45467,50542,TopDown HW damp-add,0.0886,0.0438,2274,0.2448,0.9244
2026-09-01,COMPLEMENTOS,0,0,0,TopDown HW damp-add,1.0,0.0438,0,0.2448,1.0
2026-09-01,CORTOS,11812,11188,12437,TopDown HW damp-add,0.1037,0.0438,555,0.2448,0.9314
2026-09-01,JEANS,49552,46933,52172,TopDown HW damp-add,0.1018,0.0438,2357,0.2448,0.9208
2026-09-01,PANTALONES,13730,13004,14455,TopDown HW damp-add,0.2015,0.0438,655,0.2448,0.9187
2026-09-01,PRENDAS DE MODA,3100,2935,3264,TopDown HW damp-add,0.4117,0.0438,146,0.2448,0.9301
2026-09-01,ROPA INTERIOR,47,45,49,TopDown HW damp-add,55.3309,0.0438,2,0.2448,1.0
2026-09-01,SOBRETODOS,6766,6409,7123,TopDown HW damp-add,0.1933,0.0438,321,0.2448,0.9245
2026-09-01,TEJIDO,3249,3077,3420,TopDown HW damp-add,0.5852,0.0438,156,0.2448,0.9123
2026-09-01,TOP-BODY,12197,11552,12842,TopDown HW damp-add,0.2287,0.0438,583,0.2448,0.9159
2026-10-01,ACCESORIOS,8176,7682,8670,TopDown HW damp-add,0.2982,0.0427,364,0.1336,0.9598
2026-10-01,BEAUTY,5250,4933,5568,TopDown HW damp-add,0.3183,0.0427,233,0.1336,0.9616
2026-10-01,BLUSA-CAMISA,20862,19602,22123,TopDown HW damp-add,0.1298,0.0427,929,0.1336,0.959
2026-10-01,CALZADO,0,0,0,TopDown HW damp-add,0.0477,0.0427,0,0.1336,1.0
2026-10-01,CAMISETA,43423,40798,46046,TopDown HW damp-add,0.0886,0.0427,1934,0.1336,0.9588
2026-10-01,COMPLEMENTOS,0,0,0,TopDown HW damp-add,1.0,0.0427,0,0.1336,1.0
2026-10-01,CORTOS,11109,10438,11781,TopDown HW damp-add,0.1037,0.0427,493,0.1336,0.9626
2026-10-01,JEANS,51712,48588,54837,TopDown HW damp-add,0.1018,0.0427,2308,0.1336,0.9568
2026-10-01,PANTALONES,12218,11480,12957,TopDown HW damp-add,0.2015,0.0427,546,0.1336,0.9557
2026-10-01,PRENDAS DE MODA,3529,3316,3742,TopDown HW damp-add,0.4117,0.0427,157,0.1336,0.9619
2026-10-01,ROPA INTERIOR,38,36,40,TopDown HW damp-add,55.3309,0.0427,2,0.1336,1.0
2026-10-01,SOBRETODOS,7652,7190,8114,TopDown HW damp-add,0.1933,0.0427,341,0.1336,0.9588
2026-10-01,TEJIDO,3999,3758,4241,TopDown HW damp-add,0.5852,0.0427,179,0.1336,0.9522
2026-10-01,TOP-BODY,11857,11140,12573,TopDown HW damp-add,0.2287,0.0427,531,0.1336,0.9541
2026-11-01,ACCESORIOS,11197,10580,11816,TopDown HW damp-add,0.2982,0.0572,663,0.1111,0.9665
2026-11-01,BEAUTY,7258,6857,7658,TopDown HW damp-add,0.3183,0.0572,429,0.1111,0.9681
2026-11-01,BLUSA-CAMISA,35900,33918,37882,TopDown HW damp-add,0.1298,0.0572,2126,0.1111,0.9659
2026-11-01,CALZADO,0,0,0,TopDown HW damp-add,0.0477,0.0572,0,0.1111,1.0
2026-11-01,CAMISETA,68089,64329,71849,TopDown HW damp-add,0.0886,0.0572,4033,0.1111,0.9657
2026-11-01,COMPLEMENTOS,3324,3141,3508,TopDown HW damp-add,1.0,0.0572,190,0.1111,1.0
