fecha,Linea,Cantidad_Pronosticada,Limite_Inferior,Limite_Superior,Modelo,MAPE_Backtest,Ajuste_Venta_Perdida_Pct,Venta_Perdida_Estimada,Gap_Regional_Sismo,Factor_Sismo
2026-09-01,ACCESORIOS,5768,5361,6175,TopDown HW add-add,0.2243,0.046,270,0.061,0.984
2026-09-01,BEAUTY,12633,11742,13524,TopDown HW add-add,0.4339,0.046,591,0.061,0.9832
2026-09-01,BLUSA-CAMISA,5600,5206,5995,TopDown HW add-add,0.4173,0.046,261,0.061,0.9863
2026-09-01,CALZADO,3045,2831,3260,TopDown HW add-add,0.3466,0.046,143,0.061,0.9815
2026-09-01,CAMISETA,37537,34890,40184,TopDown HW add-add,0.1143,0.046,1754,0.061,0.9843
2026-09-01,COMPLEMENTOS,270,251,289,TopDown HW add-add,0.5517,0.046,13,0.061,0.9859
2026-09-01,CORTOS,11729,10902,12556,TopDown HW add-add,0.098,0.046,547,0.061,0.9856
2026-09-01,DEPORTIVOS,284,264,304,TopDown HW add-add,1.9623,0.046,13,0.061,1.0
2026-09-01,JEANS,21895,20351,23439,TopDown HW add-add,0.1166,0.046,1022,0.061,0.9852
2026-09-01,PANTALONES,7436,6912,7960,TopDown HW add-add,0.306,0.046,348,0.061,0.9829
2026-09-01,PRENDAS DE MODA,5418,5036,5800,TopDown HW add-add,0.4538,0.046,253,0.061,0.9835
2026-09-01,ROPA INTERIOR,4203,3907,4500,TopDown HW add-add,0.2416,0.046,197,0.061,0.9824
2026-09-01,SOBRETODOS,4637,4311,4964,TopDown HW add-add,0.1745,0.046,217,0.061,0.9815
2026-09-01,TEJIDO,1050,976,1124,TopDown HW add-add,1.5638,0.046,49,0.061,0.9813
2026-09-01,TOP-BODY,13997,13010,14984,TopDown HW add-add,0.1107,0.046,655,0.061,0.9831
2026-10-01,ACCESORIOS,6102,5677,6527,TopDown HW add-add,0.2243,0.0475,294,0.0553,0.9855
2026-10-01,BEAUTY,13038,12131,13945,TopDown HW add-add,0.4339,0.0475,629,0.0553,0.9847
2026-10-01,BLUSA-CAMISA,6687,6222,7152,TopDown HW add-add,0.4173,0.0475,322,0.0553,0.9876
2026-10-01,CALZADO,3235,3010,3459,TopDown HW add-add,0.3466,0.0475,156,0.0553,0.9833
2026-10-01,CAMISETA,38429,35755,41101,TopDown HW add-add,0.1143,0.0475,1852,0.0553,0.9858
2026-10-01,COMPLEMENTOS,204,190,218,TopDown HW add-add,0.5517,0.0475,10,0.0553,0.9872
2026-10-01,CORTOS,14210,13222,15199,TopDown HW add-add,0.098,0.0475,684,0.0553,0.987
2026-10-01,DEPORTIVOS,278,259,297,TopDown HW add-add,1.9623,0.0475,13,0.0553,1.0
2026-10-01,JEANS,24047,22374,25719,TopDown HW add-add,0.1166,0.0475,1158,0.0553,0.9865
2026-10-01,PANTALONES,9859,9173,10545,TopDown HW add-add,0.306,0.0475,476,0.0553,0.9845
2026-10-01,PRENDAS DE MODA,6495,6042,6947,TopDown HW add-add,0.4538,0.0475,313,0.0553,0.9851
2026-10-01,ROPA INTERIOR,4618,4297,4940,TopDown HW add-add,0.2416,0.0475,223,0.0553,0.9841
2026-10-01,SOBRETODOS,6113,5687,6537,TopDown HW add-add,0.1745,0.0475,295,0.0553,0.9832
2026-10-01,TEJIDO,918,854,982,TopDown HW add-add,1.5638,0.0475,44,0.0553,0.983
2026-10-01,TOP-BODY,15832,14731,16934,TopDown HW add-add,0.1107,0.0475,764,0.0553,0.9847
2026-11-01,ACCESORIOS,9975,9285,10666,TopDown HW add-add,0.2243,0.0627,635,0.0552,0.9855
2026-11-01,BEAUTY,20205,18806,21602,TopDown HW add-add,0.4339,0.0627,1286,0.0552,0.9848
